,femur,tibia
1572,0,25
1573,1,1
1574,6,1
1575,17,2
1576,98,33
1577,138,1
1578,1,19
1579,1,10
1580,13,2
1581,42,0
1582,9,511
1583,168,6
1584,4,2
1585,40,3
1586,215,3
1587,1,1
1588,2,2
1589,2,423
1590,0,9
1591,105,287
1592,6,3
1593,0,12
1594,0,123
1595,5,0
1596,45,152
1597,3,56
1598,5,34
1599,280,3
1600,21,7
1601,1852,553
1602,237,551
1603,1361,1822
1604,1174,9720
1605,0,2
1606,5,3
1607,5,0
1608,9,37
1609,19,13
1610,5,1
1611,1,1
1612,94,20
1613,12,6
1614,8,11
1615,15,3
1616,142,4
1617,1478,14
1618,769,8531
1619,3,1
1620,6,0
1621,607,275
1622,189,120
1623,19,0
1624,395,0
1625,457,58
1626,297,18
1627,1180,0
1628,1,3
1629,134,2
1630,0,0
1631,3,1
1632,1799,0
1633,10,1
1634,3,2
1635,58,3
1636,4,0
1637,114,0
1638,0,6
1639,0,2
1640,16,5
1641,78,63
1642,6,1
1643,1,4
1644,0,44
1645,431,22
1646,9,3
1647,36,24
1648,3,4
1649,0,174
1650,7,3
1651,8,1
1652,14,19
1653,386,2270
1654,3,2
1655,6,0
1656,30,2
1657,6,0
1658,2,0
1659,1,1
1660,1363,1
1661,436,534
1662,1,8
1663,2,7
1664,1,56
1665,2,11
1666,1,0
1667,141,78
1668,60,5
1669,1,0
1670,3,0
1671,14,234
1672,162,18
1673,38,681
1674,670,570
1675,10,93
1676,0,0
1677,0,4
1678,8,266
1679,34,2
1680,511,12
1681,7,10
1682,382,2853
1683,12,747
1684,0,0
1685,0,15
1686,115,8
1687,9,0
1688,471,11
1689,3,3
1690,3,25
1691,52,31
1692,259,46
1693,9,21
1694,3,171
1695,2,6
1696,5,1
1697,109,227
1698,850,25
1699,0,30
1700,0,2
1701,0,2
1702,0,4
1703,0,4
1704,6,1
1705,354,0
1706,35,0
1707,4,135
1708,51,1
1709,7,0
1710,38,3
1711,0,2
1712,3,2
1713,254,65
1714,168,43
1715,8,4
1716,5,1
1717,9,0
1718,9,2
1719,9,8
1720,0,1
1721,66,0
1722,3,9
1723,4,257
1724,0,0
1725,3,236
1726,2,57
1727,890,55
1728,1,13
1729,2,0
1730,4,0
1731,3,134
1732,26,7
1733,39,137
1734,17,98
1735,14,1
1736,26,12
1737,0,0
1738,2,3
1739,153,101
1740,439,2
1741,254,165
1742,245,0
1743,309,34
1744,55,1
1745,6,4
1746,4,0
1747,110,1
1748,1,0
1749,34,27
1750,9,994
1751,4,21
1752,1,436
1753,0,126
1754,47,2
1755,129,338
1756,0,19
1757,1,0
1758,0,2
1759,362,2
1760,85,14
1761,2,6
1762,0,0
1763,0,3
1764,91,398
1765,45,518
1766,1,0
1767,2,3
1768,82,16
1769,3,75
1770,5,2
1771,116,1
1772,0,280
1773,5,8
1774,8,5
1775,44,7
1776,1948,3
1777,21,2
1778,145,0
1779,681,1323
1780,553,607
1781,5,0
1782,1,9
1783,7,3
1784,535,1
1785,11,0
1786,33,2
1787,1,0
1788,0,2967
1789,0,4221
1790,1,493
1791,339,2234
1792,0,79
1793,0,1264
1794,4,4
1795,0,13
1796,0,2
1797,1,8
1798,4,1
1799,6,0
1800,11,5
1801,0,0
1802,2,1
1803,5,13
1804,0,5
1805,3,554
1806,293,122
1807,41,17
1808,7,25
1809,34,2
1810,5,2
1811,0,0
1812,3,0
1813,143,3
1814,10,10
1815,2,14
1816,21,5
1817,7,4
1818,246,44
1819,316,10
1820,9,6
1821,3,3
1822,1,1
1823,23,0
1824,783,146
1825,53,5
1826,1,9
1827,2,24
1828,5,6
1829,17,5438
1830,7,6
1831,11,1
1832,147,215
1833,35,1900
1834,0,8
1835,511,27
1836,12,503
1837,100,1339
1838,1613,8
1839,1,111
1840,2,1
1841,4,0
1842,172,0
1843,1,1
1844,32,3
1845,2,5
1846,2,32
1847,281,0
1848,4289,0
1849,22,1
1850,0,13
1851,0,18
1852,102,8
1853,0,171
1854,6,3
1855,1,111
1856,7,0
1857,43,5
1858,0,260
1859,29,1224
1860,13,1
1861,44,0
1862,10,16
1863,1199,687
1864,6,98
1865,133,15
1866,3,253
1867,7,3402
1868,11,222
1869,20,253
1870,3,19
1871,5,0
1872,3,85
1873,3,0
1874,3,10
1875,1,55
1876,1,103
1877,6,49
1878,1,10
1879,1,2
1880,0,1
1881,10,2368
1882,0,5
1883,430,2
1884,1070,0
1885,29,0
1886,1,1
1887,164,0
1888,0,36
1889,21,2
1890,115,0
1891,59,1
1892,13,0
1893,2,9
1894,0,0
1895,19,8
1896,194,2232
1897,113,3
1898,10,116
1899,4,2
1900,1,1933
1901,211,5
1902,4,70
1903,12,74
1904,72,1
1905,0,258
1906,0,3
1907,8,1
1908,6,7
1909,2,0
1910,129,0
1911,4,0
1912,18,6
1913,84,11
1914,168,70
1915,32,152
1916,9,264
1917,3,55
1918,16,11
1919,0,42
1920,15,12
1921,1,29
1922,41,2
1923,308,0
1924,8,5
1925,74,0
1926,0,53
1927,2,240
1928,639,31
1929,281,0
1930,157,8
1931,266,57
1932,1,2
1933,2,381
1934,104,8961
1935,4,2003
1936,295,1334
1937,130,1018
1938,3,36
1939,0,79
1940,3,327
1941,341,30
1942,6,3
1943,2,395
1944,16,552
1945,2,0
1946,17,75
1947,199,2
1948,2,6
1949,1,3
1950,555,4
1951,3,701
1952,0,964
1953,0,1331
1954,6,90
1955,1,7
1956,16,748
1957,2361,2
1958,240,6
1959,187,0
1960,786,18
1961,318,0
1962,59,166
1963,54,603
1964,47,11
1965,200,0
1966,2,1
1967,723,530
1968,1,1
1969,1,1
1970,22,0
1971,1,0
1972,17,0
