,afemur,atibia,bfemur,btibia
3825,16501,10079,15652,9498
3826,17319,10998,16502,10401
3827,16467,12013,15498,11288
3828,16995,12914,16223,12934
3829,16928,13325,16499,12767
3830,17155,12698,16833,12716
3831,17959,12957,17561,12465
3832,19746,12458,18853,12041
3833,21564,12131,20772,11753
3834,23182,11716,23298,11970
3835,24388,11212,24441,11471
3836,24684,10249,25013,10421
3837,23672,8433,24033,8762
3838,17603,6760,17314,6920
3839,13015,6169,13189,6191
3840,9141,5285,9150,5542
3841,11609,1071,11578,2190
3842,12979,4439,12863,4613
3843,14643,6830,14359,6621
3844,16060,8654,15751,7884
3845,17728,9964,17400,9175
3846,19326,13190,18463,10986
3847,19942,14871,20007,14639
3848,18098,16509,18248,16335
3849,16524,17968,17181,17836
3850,15565,19085,16180,19077
3851,15028,19185,15342,19578
3852,14590,19137,14774,19397
3853,14365,19462,14466,19844
3854,14930,19378,15105,20026
3855,16005,20254,16356,20885
3856,18618,20072,18453,20685
3857,21363,19432,20722,20120
3858,23002,18733,22510,19517
3859,23872,17959,23145,18415
3860,23189,16055,22863,16683
3861,20398,12618,20450,14066
3862,17752,11280,17540,11637
3863,14838,9787,12909,10475
3864,6095,0,9685,1583
3865,9420,0,11655,3396
3866,11644,919,13280,5419
3867,13714,3004,15245,7005
3868,15575,4832,16518,8551
3869,17578,6521,17885,10883
3870,19488,7801,18835,13929
3871,20831,10416,16715,15777
3872,20091,12248,15464,17330
3873,17590,13579,14663,18370
3874,16752,15435,14100,19402
3875,16503,16258,13987,19868
3876,16647,16319,14384,20080
3877,17121,15954,16291,20039
3878,18387,16612,18443,19136
3879,20466,16386,20350,18108
3880,22787,16669,22417,16967
3881,24288,16275,23635,13315
3882,25159,15634,23744,12128
3883,24479,14672,22105,10049
3884,20003,11907,15455,9017
3885,16441,10507,11045,7521
3886,11507,9233,6565,5850
3887,0,0,6820,0
3888,9306,578,10121,1159
3889,12296,1472,12911,2870
3890,14813,2995,14939,4999
3891,17275,4928,16495,6097
3892,18757,6930,18479,8143
3893,20757,8576,19673,9725
3894,21427,10404,20644,11650
3895,19531,12781,18854,13562
3896,17133,15007,17555,14828
3897,16636,17122,16969,16507
3898,15839,18309,16168,17682
3899,15623,18570,16148,18011
3900,16306,20111,16789,18357
3901,17395,19755,17934,19038
3902,19644,20639,20412,19005
3903,21623,20047,22334,18755
3904,22662,19744,23468,17732
3905,23331,18967,24146,16344
3906,23065,17120,23840,15727
3907,19333,13779,20059,11522
3908,17030,11416,16538,9260
3909,13024,9138,13027,8200
3910,3529,195,7058,0
3911,9065,1862,10462,2795
3912,11819,3388,11923,4086
3913,12911,4935,13348,5636
3914,14019,6456,14356,7144
3915,14921,7845,14990,9083
3916,15652,8876,15719,10025
3917,15805,9420,15787,11228
3918,15095,9890,14655,11940
3919,13857,11027,14949,12613
3920,14940,11495,17192,13544
3921,16197,11344,16811,13416
3922,18466,11431,17207,13634
3923,19640,11500,17625,13283
3924,20041,11105,19298,13192
3925,21942,10667,21871,13218
3926,24337,10335,24322,12295
3927,26467,9470,26039,11437
3928,28246,8783,26636,10332
3929,28485,8249,25673,8957
3930,26873,7535,20296,7302
3931,17790,6195,15156,6132
3932,11863,5170,11123,5352
3933,511,0,0,0
3934,7441,0,11859,1423
3935,10754,1383,11887,3129
3936,13318,2996,13239,4537
3937,14624,4135,15095,6098
3938,16164,5880,17557,7943
3939,17680,7357,19193,9496
3940,19034,9438,21568,10486
3941,20321,10786,20850,11302
3942,20055,12105,20201,12912
3943,19538,13051,19905,13218
3944,18560,13849,19734,12982
3945,18666,13755,18695,13286
3946,18983,13917,19604,13270
3947,20092,14385,20820,13079
3948,22262,14014,23045,12584
3949,24339,14130,24791,12279
3950,25311,14174,25837,11514
3951,25623,13575,26460,11138
3952,26176,13191,24767,10412
3953,25624,12497,16421,9437
3954,16470,9580,13540,6867
3955,10198,7490,9091,6015
3956,13448,1406,14103,2082
3957,15601,2887,16073,4654
3958,18186,5702,18163,5881
3959,20324,7035,20417,7923
3960,22356,8980,22538,10097
3961,23914,11708,24499,11767
3962,25463,13479,25494,14576
3963,25951,15150,24122,16156
3964,23074,16513,21760,17747
3965,21809,17703,20217,19578
3966,20502,18295,18759,20391
3967,20016,18508,18107,20504
3968,19798,18284,17975,20250
3969,20908,18082,18498,20187
3970,22114,17795,20777,20785
3971,24174,18359,23117,21151
3972,26033,18052,24811,21254
3973,27521,17145,26470,21364
3974,28814,16383,27532,20208
3975,29199,16197,28141,18461
3976,28475,15587,27702,17566
3977,25249,13054,24709,14842
3978,21163,11807,21497,13739
3979,4811,0,2366,0
3980,7609,948,6738,0
3981,9833,1995,8786,2866
3982,11643,4540,10572,5275
3983,13163,5593,12857,7117
3984,14555,7385,14560,8164
3985,15967,8763,16244,10875
3986,17350,11236,16613,14562
3987,16668,13788,14947,18110
3988,16001,14685,14017,19220
