,areas,phi,rho,seg,name
3,208,213.26152,0.106473625,3,9000798_01_012
0,763,158.23546,0.1305861,1,9000798_01_013
0,826,60.71502,0.12620878,3,9000798_01_013
1,20,79.655205,0.13780372,3,9000798_01_013
2,20,82.252304,0.15363754,3,9000798_01_013
0,472,160.33665,0.12913948,1,9000798_01_014
0,1110,53.709053,0.11875939,3,9000798_01_014
1,24,79.59466,0.13718082,3,9000798_01_014
2,26,85.87765,0.14576502,3,9000798_01_014
3,35,112.370155,0.07842402,3,9000798_01_014
0,790,45.489788,0.109960094,3,9000798_01_015
1,22,62.22666,0.13309461,3,9000798_01_015
2,17,297.9973,0.13001965,3,9000798_01_015
3,56,67.2968,0.13969952,3,9000798_01_015
4,100,72.99048,0.11814716,3,9000798_01_015
5,18,77.242935,0.13868803,3,9000798_01_015
6,12,76.65711,0.13105494,3,9000798_01_015
0,294,49.169857,0.11053487,3,9000798_01_016
1,17,41.184658,0.06124922,3,9000798_01_016
0,160,191.04077,0.09105361,1,9000798_01_017
1,39,203.58025,0.10696801,1,9000798_01_017
0,15,68.39514,0.08113702,3,9000798_01_017
0,51,84.780975,0.12711652,1,9000798_01_018
1,13,190.0565,0.082147434,1,9000798_01_018
2,96,197.43404,0.10967022,1,9000798_01_018
3,36,178.30038,0.12503965,1,9000798_01_018
0,24,48.006535,0.13220026,3,9000798_01_018
1,30,283.05423,0.16807422,3,9000798_01_018
0,45,270.1468,0.09336236,1,9000798_01_020
0,14,314.3222,0.039589733,3,9000798_01_020
1,15,288.71387,0.066665955,3,9000798_01_020
0,14,224.44763,0.10459017,1,9000798_03_001
1,10,193.96724,0.07880822,1,9000798_03_001
2,32,186.24788,0.08600854,1,9000798_03_001
3,10,181.06439,0.09638973,1,9000798_03_001
4,30,169.70627,0.14331037,1,9000798_03_001
0,95,228.22403,0.097466595,1,9000798_03_002
0,13,241.87639,0.111849844,1,9000798_03_003
1,23,158.47879,0.12256558,1,9000798_03_003
0,42,54.921143,0.14558783,3,9000798_03_003
1,260,55.647247,0.09192975,3,9000798_03_003
2,22,47.37508,0.07241708,3,9000798_03_003
3,10,75.42602,0.07482582,3,9000798_03_003
0,22,186.29964,0.14519729,1,9000798_03_004
0,12,318.92398,0.118681334,3,9000798_03_004
1,72,60.14761,0.10151104,3,9000798_03_004
2,13,51.51964,0.08515689,3,9000798_03_004
3,71,67.94921,0.13027224,3,9000798_03_004
4,21,294.54477,0.059518594,3,9000798_03_004
0,25,321.59518,0.049026784,1,9000798_03_005
1,230,238.45325,0.12818763,1,9000798_03_005
2,14,127.67599,0.102648154,1,9000798_03_005
0,51,70.17964,0.13818453,3,9000798_03_005
1,47,64.02582,0.104019485,3,9000798_03_005
0,18,329.15692,0.04995984,1,9000798_03_006
1,76,236.2716,0.13302256,1,9000798_03_006
0,11,66.04749,0.15964322,3,9000798_03_006
1,14,81.875916,0.1010253,3,9000798_03_006
0,156,238.75627,0.13462396,1,9000798_03_007
1,17,149.2501,0.17551827,1,9000798_03_007
0,10,49.64483,0.1322785,3,9000798_03_007
1,65,66.51884,0.16313854,3,9000798_03_007
2,12,78.36829,0.14177674,3,9000798_03_007
3,32,82.09567,0.094069146,3,9000798_03_007
0,14,170.82907,0.15984075,1,9000798_03_008
1,14,160.4972,0.16713555,1,9000798_03_008
0,11,80.93196,0.121450976,3,9000798_03_008
1,22,83.27346,0.14491047,3,9000798_03_008
0,11,161.72443,0.16628148,1,9000798_03_009
1,10,169.09718,0.16433842,1,9000798_03_009
0,240,320.4236,0.09751087,3,9000798_03_009
1,10,297.01456,0.06357337,3,9000798_03_009
0,26,114.516106,0.13319449,1,9000798_03_010
1,44,225.94534,0.13798553,1,9000798_03_010
2,10,121.506355,0.14049563,1,9000798_03_010
0,10,328.40274,0.09045725,3,9000798_03_010
1,58,315.90576,0.09502675,3,9000798_03_010
0,32,240.74487,0.08994363,1,9000798_03_011
0,49,158.3941,0.14185195,1,9000798_03_013
1,49,152.06824,0.15611564,1,9000798_03_013
0,315,53.75204,0.117575616,3,9000798_03_013
1,12,63.355076,0.13194169,3,9000798_03_013
0,740,54.06389,0.12491377,3,9000798_03_014
1,57,63.844357,0.15776622,3,9000798_03_014
0,130,160.16963,0.13734828,1,9000798_03_015
0,767,50.78002,0.12595896,3,9000798_03_015
1,20,71.4363,0.1142533,3,9000798_03_015
0,20,343.39194,0.12707858,1,9000798_03_016
0,745,49.699005,0.12738247,3,9000798_03_016
1,94,36.54323,0.10342122,3,9000798_03_016
0,39,342.86215,0.1349066,1,9000798_03_017
0,140,43.94821,0.13428856,3,9000798_03_017
1,208,50.459763,0.093567915,3,9000798_03_017
2,51,290.02933,0.1360332,3,9000798_03_017
3,10,68.04144,0.095578685,3,9000798_03_017
0,28,194.45518,0.06831176,1,9000798_03_018
0,10,259.29178,0.13197039,1,9000798_03_019
1,295,196.6778,0.0974593,1,9000798_03_019
2,15,205.25041,0.08141725,1,9000798_03_019
3,42,190.42564,0.12576222,1,9000798_03_019
0,218,197.91064,0.11304762,1,9000798_03_020
1,60,190.64291,0.12965178,1,9000798_03_020
2,11,186.29367,0.1268644,1,9000798_03_020
0,29,247.37405,0.038536426,1,9000798_05_000
1,10,203.2428,0.1325908,1,9000798_05_000
0,11,269.5364,0.05079216,1,9000798_05_001
1,25,244.42557,0.08873627,1,9000798_05_001
2,143,205.19649,0.12175611,1,9000798_05_001
3,13,199.26537,0.13521294,1,9000798_05_001
4,60,189.01079,0.14340496,1,9000798_05_001
0,55,61.148666,0.15086865,3,9000798_05_001
1,30,49.2923,0.092916094,3,9000798_05_001
2,10,57.177925,0.11145278,3,9000798_05_001
3,42,68.97383,0.09368044,3,9000798_05_001
0,39,282.21616,0.022506567,1,9000798_05_002
1,13,82.27592,0.041280303,1,9000798_05_002
0,28,73.67009,0.13609342,3,9000798_05_002
0,56,194.00752,0.14403793,1,9000798_05_003
1,15,188.19029,0.14840841,1,9000798_05_003
0,38,76.44533,0.14114764,3,9000798_05_003
1,10,73.475624,0.0993051,3,9000798_05_003
0,51,323.9647,0.033889443,1,9000798_05_004
1,28,291.64597,0.03804511,1,9000798_05_004
0,17,88.16798,0.137222,3,9000798_05_004
0,20,333.76672,0.042173594,1,9000798_05_005
0,16,328.16965,0.050454207,1,9000798_05_006
0,306,318.1956,0.080199875,3,9000798_05_008
0,120,233.0114,0.08906301,1,9000798_05_009
0,12,217.01933,0.10330178,1,9000798_05_010
1,70,209.83322,0.11395483,1,9000798_05_010
2,35,173.00905,0.12587813,1,9000798_05_010
0,99,66.622665,0.13469604,3,9000798_05_010
1,13,65.029144,0.11849797,3,9000798_05_010
0,12,175.03812,0.12926507,1,9000798_05_011
1,65,159.05261,0.14353184,1,9000798_05_011
2,24,163.88785,0.14259435,1,9000798_05_011
0,127,175.62852,0.12504682,1,9000798_05_012
1,409,157.15955,0.1426326,1,9000798_05_012
0,238,57.691227,0.12996162,3,9000798_05_012
1,14,44.338448,0.06848687,3,9000798_05_012
2,14,52.99673,0.08098221,3,9000798_05_012
3,18,61.33461,0.08245912,3,9000798_05_012
4,11,69.205284,0.08147134,3,9000798_05_012
0,507,164.49419,0.13696508,1,9000798_05_013
0,383,57.27831,0.12279093,3,9000798_05_013
1,21,31.68697,0.081512235,3,9000798_05_013
2,280,42.293144,0.06479649,3,9000798_05_013
3,33,63.720875,0.08149761,3,9000798_05_013
4,15,65.83427,0.0934632,3,9000798_05_013
5,11,74.14355,0.086874634,3,9000798_05_013
6,153,76.34361,0.065006435,3,9000798_05_013
0,39,166.85303,0.13495521,1,9000798_05_014
0,675,54.5143,0.1114255,3,9000798_05_014
1,38,38.765347,0.07338747,3,9000798_05_014
2,223,69.31256,0.06395896,3,9000798_05_014
0,90,47.83709,0.1192325,3,9000798_05_015
1,12,46.400654,0.100511245,3,9000798_05_015
2,139,48.06259,0.07463688,3,9000798_05_015
0,82,195.28394,0.07609654,1,9000798_05_016
0,23,57.094513,0.10626153,1,9000798_05_017
1,363,192.76535,0.07995499,1,9000798_05_017
2,12,187.60324,0.10536168,1,9000798_05_017
0,140,190.36469,0.081860796,1,9000798_05_018
1,22,202.85599,0.08335167,1,9000798_05_018
2,639,198.6241,0.11738475,1,9000798_05_018
3,20,178.87949,0.12824172,1,9000798_05_018
0,250,203.78893,0.12042532,1,9000798_05_019
1,48,189.84325,0.12607214,1,9000798_05_019
0,11,49.108246,0.13510686,3,9000798_05_019
0,63,113.91561,0.10548383,1,9000798_05_021
0,61,105.270004,0.10621964,1,9000798_05_022
0,20,284.40436,0.19770099,3,9000798_05_022
0,526,166.75417,0.10469496,1,9000798_10_000
0,387,66.9948,0.10357025,3,9000798_10_000
1,16,48.721703,0.06823679,3,9000798_10_000
0,89,148.70117,0.10729079,1,9000798_10_001
0,215,71.65136,0.106129214,3,9000798_10_001
1,31,77.67795,0.12858652,3,9000798_10_001
2,20,83.66482,0.087080576,3,9000798_10_001
0,38,65.44495,0.12106508,3,9000798_10_002
0,16,169.40623,0.13950706,1,9000798_10_004
0,121,87.61255,0.12943344,3,9000798_10_004
0,10,163.00914,0.14209066,1,9000798_10_005
1,15,169.65298,0.13939682,1,9000798_10_005
0,31,83.70067,0.14121139,3,9000798_10_005
0,25,158.7177,0.14487481,1,9000798_10_006
0,11,113.36834,0.11373613,1,9000798_10_007
1,73,129.88722,0.16202453,1,9000798_10_007
2,66,158.5867,0.14626503,1,9000798_10_007
0,12,164.22017,0.13920687,1,9000798_10_008
0,84,322.0504,0.08459963,3,9000798_10_008
1,18,313.30826,0.09742602,3,9000798_10_008
0,26,260.48834,0.080151446,1,9000798_10_009
1,10,258.77765,0.085872985,1,9000798_10_009
0,123,315.8761,0.09084234,3,9000798_10_009
0,395,310.3467,0.08851123,3,9000798_10_011
0,50,83.48635,0.1337913,1,9000798_10_012
0,149,347.54758,0.0892318,3,9000798_10_014
0,127,206.40952,0.05867735,1,9000798_10_015
0,228,346.13617,0.08481274,3,9000798_10_015
1,21,286.3304,0.1262414,3,9000798_10_015
0,19,213.02887,0.06447367,1,9000798_10_016
