,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
2041,0,0,2,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,3,2,4,1,0,11,34,54,7,13,2,5,0,11,0,0,2,11,3,0,1,0,0,2,17,1,0,5,4,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2042,0,0,0,0,0,0,0,0,0,0,0,6,7,0,3,0,0,0,0,0,2,1,5,1,0,0,0,0,0,0,6,10,44,108,55,5,1,0,1,0,22,114,60,0,8,34,22,0,5,1,18,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2043,0,0,0,0,0,0,0,1,0,0,5,8,6,10,1,6,6,10,1,0,0,0,0,0,0,1,0,2,2,9,0,0,3,0,0,0,0,0,0,0,1,0,0,6,50,31,0,2,2,36,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2044,0,0,0,0,0,45,133,463,1330,1724,1423,963,773,574,435,265,328,419,357,403,387,306,227,191,126,67,33,88,28,85,125,193,166,184,205,224,190,160,123,104,80,101,107,608,1780,2358,2518,2581,2014,1370,755,432,288,115,125,39,10,6,7,15,1,11,2,0,0,1,0,36,53,3,0
2045,0,0,0,0,0,0,14,9,29,50,44,33,50,28,17,3,1,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,2,0,1,7,0,35,44,571,504,75,12,0,13,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2046,0,0,0,0,134,798,1639,2639,2868,1681,1158,717,452,319,175,139,152,85,53,69,83,82,57,28,18,1,0,1,0,0,3,0,0,0,0,0,0,5,0,5,25,2,0,1,45,1,25,1,13,0,0,1,9,4,0,1,13,29,33,38,27,8,8,8,0,0,0,0,0,0,0
2047,0,0,0,0,0,0,0,0,1,3,6,2,0,0,0,2,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2048,0,0,0,16,204,826,2324,3816,5090,5002,4631,3715,2744,2133,1649,1202,926,738,607,391,300,241,161,144,84,34,20,8,43,104,148,126,63,17,22,25,24,38,28,30,17,20,23,9,29,18,30,43,26,34,23,53,29,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2049,21,308,765,1190,2011,2880,4178,6414,7983,6894,5815,4997,3692,2347,1784,1350,1069,884,766,641,526,403,257,244,173,113,96,73,68,171,306,283,203,149,180,176,164,116,94,76,72,50,108,77,333,229,231,216,130,144,283,260,252,173,75,58,17,20,15,21,10,2,2,0,0,0,0,0,0,0,0
2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,1,0,0,0,0,0,0,0,3,14,20,11,13,2,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2051,0,0,0,0,1,79,157,325,468,561,434,361,288,212,157,138,140,92,66,46,21,14,0,0,14,17,10,3,30,7,2,44,38,79,300,11,4,1,3,5,7,19,65,496,336,205,100,34,2,4,6,0,83,25,2,8,15,1,0,0,0,0,0,7,15,0,1,1,0,0,0
2052,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0
2053,0,0,0,0,0,0,0,0,0,12,58,102,121,34,22,14,3,32,99,38,5,22,79,134,448,1267,1978,2601,2894,5954,11424,15094,17381,14628,14013,11966,11021,11746,12823,14247,10872,7443,1613,70,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2054,0,0,0,0,0,0,0,0,0,55,369,429,387,386,366,286,157,53,25,40,34,20,25,30,49,22,1,0,0,0,0,0,5,54,94,50,0,0,0,0,11,32,50,31,26,0,0,20,21,18,4,2,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2055,0,0,0,0,0,0,177,2269,3507,2786,2281,1821,1243,731,456,320,213,169,87,21,21,44,11,5,6,20,2,5,38,24,12,33,53,69,24,5,10,7,0,0,22,78,105,42,113,67,133,209,113,97,40,12,12,7,39,33,16,38,33,27,55,62,40,18,5,0,0,4,0,5,4
2056,0,0,149,841,993,377,55,111,138,152,118,165,232,252,179,137,138,144,135,116,97,67,48,29,1,1,0,5,2,2,0,24,43,37,48,47,50,37,45,54,32,24,4,1,1,0,4,1,18,8,16,25,11,15,12,15,18,5,1,6,6,0,0,0,0,0,0,0,0,0,0
2057,0,0,0,0,0,1,114,309,262,210,89,67,20,7,19,6,8,14,0,1,3,5,0,0,0,4,35,37,61,86,58,16,13,196,263,0,0,1,0,9,27,40,38,7,0,7,0,0,12,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2058,0,0,0,0,0,0,34,37,84,221,84,88,23,48,28,23,1,0,0,3,5,0,4,0,0,15,17,5,17,26,11,9,89,314,79,0,0,2,54,65,26,21,6,83,202,229,268,189,49,21,3,25,15,18,11,7,5,8,9,2,0,0,0,0,0,0,0,0,0,0,0
2059,0,0,0,0,0,33,316,663,721,738,622,532,467,219,69,75,102,118,134,83,49,32,24,9,14,16,30,41,49,43,188,287,152,180,19,0,0,0,1,0,1,0,0,0,0,2,0,1,7,1,1,0,1,5,0,11,10,1,7,17,16,17,20,9,28,7,0,0,0,0,0
2060,0,0,0,0,0,0,0,1,46,327,318,220,162,122,58,93,89,92,83,77,115,82,211,537,405,353,133,89,123,204,673,598,422,800,90,0,22,37,48,184,328,382,310,201,114,502,460,214,86,20,1,3,0,0,17,86,87,79,122,79,66,77,44,5,0,0,0,0,0,0,0
2061,0,0,0,0,0,3,97,75,510,831,825,779,620,386,214,191,153,114,74,62,54,35,22,4,7,5,28,14,3,24,11,27,7,1,0,0,0,1,16,11,0,8,54,24,56,163,60,45,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2062,61,61,43,25,28,28,47,48,109,673,1027,1066,932,808,715,546,383,277,213,205,196,176,143,75,40,20,5,0,0,1,6,13,1,0,7,2,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,16,21,37,50,60,49
